Company,Model,Odometer reading,fuel,transmission,owner,mileage,engine,max_power,seats,Price
Maruti,2018.0,38817.0,Diesel,Manual,First,27.39,1248.0,74.0,5.0,740000.0
Nissan,2014.0,26000.0,Petrol,Automatic,First,19.34,1198.0,76.0,5.0,361000.0
Renault,2018.0,13000.0,Petrol,Manual,First,20.71,799.0,53.26,5.0,390000.0
Skoda,2016.0,11000.0,Petrol,Automatic,First,14.3,1598.0,103.5,5.0,645000.0
Maruti,2012.0,80000.0,Petrol,Manual,Second,18.9,998.0,67.1,5.0,225000.0
Maruti,2008.0,70000.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,150000.0
Tata,2012.0,50000.0,Diesel,Manual,Third,19.09,1396.0,69.0,5.0,180000.0
Ford,2012.0,70000.0,Diesel,Manual,Fourth,20.0,1399.0,68.0,5.0,140000.0
Maruti,2014.0,70000.0,Diesel,Manual,Second,25.2,1248.0,74.0,5.0,570000.0
Mahindra,2016.0,100000.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,1000000.0
Mahindra,2012.0,80000.0,Diesel,Manual,Second,20.8,1461.0,65.0,5.0,200000.0
Maruti,2011.0,58000.0,Petrol,Manual,Third,16.1,1298.0,88.2,5.0,325000.0
Ford,2013.0,104300.0,Diesel,Manual,First,20.0,1399.0,68.1,5.0,275000.0
Renault,2014.0,123000.0,Diesel,Manual,First,19.01,1461.0,108.45,5.0,400000.0
Chevrolet,2012.0,70000.0,Diesel,Manual,Second,25.44,936.0,57.6,5.0,165000.0
Tata,2012.0,46000.0,Diesel,Manual,First,19.4,1405.0,70.0,5.0,260000.0
Mahindra,2013.0,18000.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,900000.0
Hyundai,2011.0,90000.0,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,290000.0
Ford,2015.0,50000.0,Petrol,Manual,First,15.85,1499.0,110.4,5.0,680000.0
Mahindra,2015.0,128000.0,Diesel,Manual,Third,15.96,2523.0,63.0,9.0,475000.0
Jeep,2017.0,70000.0,Diesel,Manual,First,16.3,1956.0,170.0,5.0,1950000.0
Volkswagen,2017.0,40000.0,Diesel,Manual,First,21.66,1498.0,108.62,5.0,575000.0
Hyundai,2018.0,29000.0,Diesel,Manual,First,24.0,1186.0,73.97,5.0,520000.0
Tata,2009.0,137000.0,Diesel,Manual,Second,17.0,1405.0,70.0,5.0,135000.0
Hyundai,2012.0,100000.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,190000.0
Renault,2017.0,5000.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,285000.0
Maruti,2012.0,210000.0,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,370000.0
Maruti,2014.0,72000.0,Petrol,Manual,First,19.1,1197.0,85.8,5.0,480000.0
Volvo,2019.0,20000.0,Diesel,Automatic,First,18.0,1969.0,190.0,5.0,3800000.0
Honda,2017.0,30646.0,Petrol,Manual,First,15.4,1497.0,117.3,7.0,840000.0
Maruti,2016.0,20000.0,Petrol,Manual,First,20.4,1197.0,81.8,5.0,520000.0
Maruti,2007.0,70000.0,Petrol,Manual,Third,18.9,1061.0,67.0,5.0,150000.0
Maruti,2007.0,90000.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,100000.0
Hyundai,2013.0,25000.0,Petrol,Manual,First,18.5,1197.0,82.85,5.0,380000.0
Toyota,2010.0,120000.0,Diesel,Manual,First,12.8,2494.0,102.0,7.0,451999.0
Tata,2006.0,175000.0,Diesel,Manual,Second,13.93,2179.0,138.1,7.0,300000.0
Skoda,2014.0,65000.0,Diesel,Manual,Second,21.14,1498.0,103.52,5.0,640000.0
BMW,2019.0,8500.0,Diesel,Automatic,First,16.78,1995.0,190.0,5.0,5500000.0
Volvo,2018.0,22000.0,Diesel,Automatic,First,18.0,1969.0,190.0,5.0,3400000.0
Hyundai,2018.0,50000.0,Diesel,Manual,First,24.0,1186.0,73.97,5.0,550000.0
Fiat,2015.0,70000.0,Diesel,Manual,First,20.4,1248.0,91.7,5.0,500000.0
Hyundai,2011.0,50000.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,225000.0
Toyota,2020.0,40000.0,Petrol,Automatic,First,10.75,2694.0,163.7,8.0,1500000.0
Tata,2017.0,15000.0,Petrol,Manual,First,17.57,1193.0,88.7,5.0,415000.0
Maruti,2011.0,170000.0,Diesel,Manual,First,19.3,1248.0,73.9,5.0,250000.0
Maruti,2004.0,96000.0,Petrol,Manual,Third,19.7,796.0,46.3,5.0,105000.0
Maruti,2006.0,120000.0,Petrol,Manual,Second,17.3,993.0,60.0,5.0,100000.0
Maruti,2008.0,80000.0,Petrol,Manual,Third,19.7,796.0,46.3,5.0,112999.0
Maruti,2015.0,35000.0,Petrol,Manual,First,16.02,1373.0,93.7,7.0,700000.0
Nissan,2017.0,55000.0,Diesel,Automatic,First,19.61,1461.0,108.5,5.0,850000.0
Ford,2018.0,15000.0,Petrol,Manual,First,17.0,1497.0,121.36,5.0,910000.0
Honda,2017.0,25000.0,Petrol,Manual,First,18.7,1199.0,88.7,5.0,650000.0
Mahindra,2009.0,80000.0,Diesel,Manual,Third,12.05,2179.0,120.0,7.0,320000.0
Hyundai,2019.0,5000.0,Petrol,Automatic,First,20.3,1086.0,68.0,5.0,499000.0
Chevrolet,2008.0,60000.0,Petrol,Manual,Fourth,15.26,1150.0,74.9,5.0,150000.0
Hyundai,2016.0,110000.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,250000.0
Toyota,2012.0,145000.0,Diesel,Manual,Second,12.99,2494.0,100.0,8.0,600000.0
Ford,2017.0,70000.0,Diesel,Manual,First,25.83,1498.0,99.0,5.0,670000.0
Ford,2012.0,60000.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,280000.0
Hyundai,2013.0,69000.0,Diesel,Manual,First,21.9,1396.0,88.76,5.0,451999.0
Hyundai,2012.0,138000.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,400000.0
Hyundai,2018.0,5000.0,Petrol,Automatic,First,14.8,1591.0,121.3,5.0,1350000.0
Honda,2016.0,50000.0,Diesel,Manual,Second,26.0,1498.0,98.6,5.0,1000000.0
Toyota,2015.0,125000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,900000.0
Maruti,2014.0,70000.0,Diesel,Manual,Third,25.2,1248.0,74.0,5.0,399000.0
Mahindra,2011.0,108000.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,475000.0
Maruti,2018.0,24400.0,Petrol,Manual,First,22.0,1197.0,81.8,5.0,550000.0
Hyundai,2014.0,10000.0,Petrol,Manual,First,20.3,998.0,68.05,5.0,220000.0
Land,2019.0,21000.0,Diesel,Automatic,First,12.83,1999.0,148.31,7.0,4500000.0
Maruti,2008.0,120000.0,Diesel,Manual,Second,17.8,1248.0,75.0,5.0,260000.0
Honda,2012.0,100000.0,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,540000.0
Renault,2015.0,140000.0,Diesel,Manual,Second,20.45,1461.0,83.8,5.0,620000.0
Hyundai,2014.0,70000.0,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,625000.0
Mahindra,2019.0,25000.0,Diesel,Automatic,Second,15.1,2179.0,152.87,7.0,1650000.0
Mahindra,2014.0,90000.0,Diesel,Manual,Second,15.1,2179.0,140.0,7.0,750000.0
Hyundai,2010.0,110000.0,Petrol,Manual,First,0.0,1086.0,62.0,5.0,150000.0
Maruti,2017.0,53000.0,Diesel,Manual,First,28.09,1248.0,88.5,5.0,750000.0
Hyundai,2013.0,60000.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,180000.0
Renault,2016.0,60000.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,315000.0
Hyundai,2014.0,40523.0,Petrol,Manual,Second,18.5,1197.0,82.85,5.0,459999.0
Hyundai,2013.0,80000.0,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,459999.0
Maruti,2018.0,5000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,750000.0
Mahindra,2014.0,50000.0,Diesel,Manual,Second,21.03,1461.0,65.0,5.0,250000.0
Mahindra,2011.0,175000.0,Diesel,Manual,Third,13.6,2523.0,63.0,7.0,320000.0
Maruti,2005.0,50000.0,Petrol,Manual,Third,18.9,998.0,67.1,5.0,70000.0
Tata,2011.0,35000.0,Petrol,Manual,First,15.0,1368.0,90.0,5.0,225000.0
Maruti,2013.0,62000.0,Petrol,Manual,First,22.0,1197.0,81.8,5.0,411000.0
Hyundai,2011.0,80000.0,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,225000.0
Maruti,2010.0,90000.0,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,170000.0
Volkswagen,2019.0,10000.0,Petrol,Manual,First,17.0,1198.0,73.75,5.0,640000.0
Toyota,2016.0,140000.0,Diesel,Manual,First,12.99,2494.0,100.6,8.0,1200000.0
Volkswagen,2014.0,100000.0,Petrol,Manual,First,15.04,1598.0,103.2,5.0,430000.0
Maruti,2009.0,77000.0,Petrol,Manual,Second,21.79,998.0,67.05,5.0,185000.0
Renault,2016.0,15000.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,390000.0
Chevrolet,2010.0,185000.0,Diesel,Manual,First,14.8,2499.0,80.0,7.0,270000.0
Toyota,2012.0,120000.0,Diesel,Manual,Second,23.59,1364.0,67.1,5.0,278000.0
Mahindra,2012.0,120000.0,Diesel,Manual,First,15.96,2523.0,62.1,7.0,430000.0
Hyundai,2017.0,80000.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,680000.0
Maruti,2018.0,5000.0,Petrol,Manual,First,22.0,1197.0,81.8,5.0,550000.0
Toyota,2017.0,25538.0,Petrol,Manual,First,16.78,1496.0,88.73,5.0,625000.0
Tata,2009.0,28900.0,Petrol,Manual,Second,0.0,1172.0,65.0,5.0,135000.0
Tata,2020.0,16000.0,Diesel,Manual,First,17.0,1956.0,167.67,5.0,1650000.0
Volkswagen,2018.0,40000.0,Diesel,Manual,First,20.14,1498.0,88.0,5.0,650000.0
Tata,2012.0,60000.0,Diesel,Manual,First,21.02,1248.0,88.76,5.0,290000.0
Maruti,2008.0,19000.0,Petrol,Manual,First,19.7,796.0,46.3,5.0,128000.0
Maruti,2018.0,25000.0,Petrol,Manual,First,19.34,1462.0,103.0,7.0,900000.0
Mahindra,2018.0,30000.0,Diesel,Manual,First,16.0,1997.0,140.0,7.0,1400000.0
Mahindra,2015.0,60000.0,Diesel,Manual,First,15.4,1997.0,120.0,7.0,630000.0
Hyundai,2011.0,120000.0,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,220000.0
Maruti,2011.0,100000.0,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,300000.0
Honda,2015.0,80000.0,Petrol,Manual,First,17.4,1497.0,117.3,5.0,650000.0
Maruti,2017.0,60000.0,Diesel,Manual,First,28.4,1248.0,74.02,5.0,725000.0
Ford,2007.0,97000.0,Petrol,Manual,First,16.6,1388.0,68.0,5.0,142000.0
Skoda,2007.0,175000.0,Diesel,Manual,Second,18.7,1896.0,66.0,5.0,195000.0
Maruti,2018.0,15000.0,Petrol,Manual,First,21.21,1197.0,81.8,5.0,630000.0
Skoda,2013.0,35000.0,Petrol,Automatic,Second,14.3,1598.0,103.5,5.0,395000.0
Maruti,2016.0,52000.0,Diesel,Manual,First,23.65,1248.0,88.5,5.0,775000.0
Honda,2016.0,80000.0,Diesel,Manual,First,26.0,1498.0,98.6,5.0,765000.0
Maruti,2010.0,70000.0,Petrol,Manual,Second,20.92,998.0,67.1,5.0,145000.0
Ford,2015.0,80000.0,Diesel,Manual,First,25.83,1498.0,99.0,5.0,480000.0
Maruti,2017.0,40000.0,Diesel,Manual,First,28.4,1248.0,74.02,5.0,754000.0
Honda,2017.0,73000.0,Petrol,Automatic,First,12.0,2354.0,187.4,5.0,1750000.0
Maruti,2011.0,90000.0,Petrol,Manual,First,20.92,998.0,67.1,5.0,165000.0
BMW,2020.0,5000.0,Diesel,Automatic,First,13.38,2993.0,265.0,7.0,7200000.0
Mahindra,2015.0,110000.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,1100000.0
Tata,2008.0,120000.0,Diesel,Manual,Second,19.09,1396.0,69.0,5.0,140000.0
Mitsubishi,2015.0,39000.0,Diesel,Manual,First,13.5,2477.0,175.56,7.0,1700000.0
Maruti,1998.0,50000.0,Petrol,Manual,Second,17.3,993.0,60.0,5.0,55000.0
Tata,2010.0,100000.0,Petrol,Manual,Second,15.0,1368.0,90.0,5.0,169000.0
Hyundai,2019.0,3500.0,Petrol,Manual,First,18.6,1197.0,81.86,5.0,650000.0
Volkswagen,2015.0,33000.0,Diesel,Manual,First,20.14,1498.0,88.8,5.0,620000.0
Nissan,2011.0,60000.0,Petrol,Manual,Second,18.06,1198.0,75.0,5.0,300000.0
Tata,2006.0,120000.0,Diesel,Manual,Third,16.1,1405.0,70.0,5.0,100000.0
Maruti,1997.0,60000.0,Petrol,Manual,Second,16.1,796.0,37.0,4.0,50000.0
Maruti,2011.0,80000.0,Petrol,Manual,Third,15.37,1196.0,73.0,5.0,150000.0
Maruti,2007.0,150000.0,Petrol,Manual,Second,18.2,1061.0,64.0,5.0,120000.0
Hyundai,2015.0,40000.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,210000.0
Maruti,2016.0,45000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,950000.0
Honda,2016.0,56494.0,Petrol,Manual,First,18.2,1199.0,88.7,5.0,550000.0
Chevrolet,2014.0,13500.0,Petrol,Manual,First,18.2,1199.0,82.4,5.0,450000.0
Tata,2007.0,110000.0,Petrol,Manual,Second,12.0,2092.0,127.0,7.0,300000.0
Maruti,2007.0,90000.0,Petrol,Manual,First,16.1,796.0,37.0,4.0,90000.0
Honda,2015.0,50000.0,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,575000.0
Hyundai,2015.0,55000.0,Diesel,Manual,First,24.4,1120.0,71.0,5.0,391000.0
Hyundai,2011.0,50000.0,Petrol,Manual,Third,17.92,1086.0,62.1,5.0,170000.0
Hyundai,2014.0,70000.0,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,440000.0
Maruti,1997.0,25000.0,Petrol,Manual,Third,16.1,796.0,37.0,4.0,60000.0
Maruti,2019.0,33000.0,Petrol,Automatic,First,21.21,1197.0,81.8,5.0,650000.0
Mahindra,2016.0,25000.0,Diesel,Manual,First,16.0,2179.0,140.0,7.0,1350000.0
Lexus,2019.0,20000.0,Petrol,Automatic,First,22.37,2487.0,214.56,5.0,5150000.0
Maruti,2011.0,90000.0,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,240000.0
Maruti,2005.0,35000.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,65000.0
BMW,2019.0,8500.0,Diesel,Automatic,First,16.78,1995.0,190.0,5.0,5500000.0
Tata,2015.0,110000.0,Diesel,Manual,First,14.1,2179.0,147.94,7.0,503000.0
Maruti,2019.0,10000.0,Petrol,Manual,First,21.21,1197.0,81.8,5.0,585000.0
Mahindra,2016.0,100000.0,Diesel,Manual,First,15.4,1997.0,120.0,7.0,1100000.0
Mahindra,2014.0,300000.0,Diesel,Manual,Third,12.05,2179.0,120.0,8.0,550000.0
Honda,2015.0,39000.0,Petrol,Manual,First,17.4,1497.0,117.3,5.0,649000.0
Toyota,2018.0,20000.0,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,1800000.0
Honda,2013.0,70000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,425000.0
Lexus,2019.0,20000.0,Petrol,Automatic,First,22.37,2487.0,214.56,5.0,5150000.0
Honda,2015.0,94000.0,Diesel,Manual,Second,24.5,1498.0,98.6,7.0,650000.0
Toyota,2019.0,9654.0,Petrol,Automatic,First,19.56,1197.0,81.8,5.0,894999.0
Hyundai,2010.0,60000.0,Petrol,Manual,First,17.0,1197.0,80.0,5.0,250000.0
Tata,2018.0,25000.0,Petrol,Manual,First,17.0,1198.0,108.5,5.0,750000.0
Ford,2015.0,20000.0,Petrol,Manual,Second,15.8,1499.0,110.0,5.0,555000.0
Maruti,2009.0,80000.0,Petrol,Manual,Third,19.7,796.0,46.3,5.0,130000.0
Hyundai,2013.0,50000.0,Petrol,Manual,Second,21.1,814.0,55.2,5.0,219000.0
Tata,2015.0,120000.0,Diesel,Manual,Second,19.1,1405.0,70.0,5.0,229999.0
BMW,2016.0,30000.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,2150000.0
Maruti,2016.0,50000.0,Diesel,Manual,First,26.59,1248.0,74.0,5.0,650000.0
Renault,2014.0,175000.0,Diesel,Manual,First,19.01,1461.0,108.45,5.0,495000.0
Hyundai,2015.0,50000.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,310000.0
Renault,2019.0,5000.0,Petrol,Manual,First,20.0,999.0,72.0,7.0,600000.0
Hyundai,2012.0,93000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,275000.0
Mahindra,2013.0,80000.0,Diesel,Manual,Second,12.05,2179.0,120.0,8.0,530000.0
Ford,2012.0,90000.0,Petrol,Manual,Second,15.3,1596.0,99.6,5.0,256000.0
Hyundai,2018.0,70000.0,Diesel,Manual,First,24.0,1186.0,73.97,5.0,710000.0
Volvo,2018.0,2000.0,Diesel,Automatic,First,16.8,1984.0,150.0,5.0,2475000.0
Volkswagen,2012.0,130000.0,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,315000.0
Audi,2010.0,110000.0,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,1750000.0
Maruti,2013.0,90000.0,Petrol,Manual,First,16.02,1373.0,93.7,7.0,430000.0
Maruti,2012.0,100000.0,Petrol,Manual,First,22.74,796.0,47.3,5.0,220000.0
Honda,2019.0,7032.0,Petrol,Automatic,First,19.0,1199.0,88.76,5.0,779000.0
Hyundai,2014.0,80000.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,250000.0
Honda,2009.0,105000.0,Petrol,Automatic,Second,12.9,1799.0,130.0,5.0,250000.0
Hyundai,2012.0,20000.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,140000.0
Mahindra,2019.0,25000.0,Diesel,Manual,First,18.49,1493.0,100.0,7.0,875000.0
Mahindra,2013.0,120000.0,Diesel,Manual,Third,15.96,2523.0,62.1,9.0,500000.0
Maruti,2006.0,120000.0,Petrol,Manual,Second,16.1,796.0,37.0,4.0,65000.0
Nissan,2015.0,80000.0,Diesel,Manual,Second,20.45,1461.0,83.8,5.0,700000.0
Toyota,2015.0,120000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1050000.0
Maruti,2019.0,15000.0,Petrol,Manual,First,19.01,1462.0,103.2,6.0,1000000.0
Skoda,2016.0,125000.0,Diesel,Manual,Second,21.14,1498.0,103.52,5.0,650000.0
Maruti,2011.0,60000.0,Diesel,Manual,First,19.3,1248.0,73.9,5.0,265000.0
Hyundai,2012.0,80000.0,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,440000.0
Hyundai,2015.0,50000.0,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,1050000.0
Volkswagen,2012.0,108000.0,Diesel,Automatic,First,17.42,1968.0,175.0,5.0,900000.0
Ford,2004.0,25000.0,Petrol,Manual,Third,14.2,1597.0,92.0,5.0,100000.0
Tata,2017.0,68000.0,Petrol,Manual,Second,23.84,1199.0,84.0,5.0,328000.0
Honda,2018.0,93000.0,Diesel,Manual,First,27.4,1498.0,98.63,5.0,670000.0
Volkswagen,2010.0,114000.0,Petrol,Manual,First,14.3,1798.0,160.0,5.0,700000.0
Maruti,2014.0,120000.0,Diesel,Manual,First,25.2,1248.0,74.0,5.0,395000.0
Ford,2019.0,10000.0,Petrol,Manual,First,19.0,1194.0,94.68,5.0,720000.0
Hyundai,2008.0,120000.0,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,130000.0
Ford,2014.0,120000.0,Diesel,Manual,Third,20.0,1399.0,68.05,5.0,320000.0
Mahindra,2011.0,105000.0,Diesel,Manual,Second,19.2,1461.0,65.0,5.0,229999.0
Maruti,2019.0,5000.0,Petrol,Automatic,First,21.7,998.0,67.0,5.0,475000.0
Honda,2014.0,167000.0,Diesel,Manual,First,25.1,1498.0,98.6,5.0,650000.0
Toyota,2012.0,90000.0,Diesel,Manual,First,12.8,2494.0,102.0,8.0,610000.0
Maruti,2019.0,3000.0,Petrol,Manual,First,20.89,1197.0,81.8,5.0,577000.0
Tata,2017.0,35000.0,Diesel,Manual,First,21.5,1497.0,108.5,5.0,830000.0
Skoda,2016.0,11000.0,Petrol,Automatic,First,14.3,1598.0,103.5,5.0,645000.0
Hyundai,2015.0,40000.0,Diesel,Manual,First,19.67,1582.0,126.2,5.0,1300000.0
Volkswagen,2012.0,74000.0,Diesel,Manual,Second,22.07,1199.0,73.9,5.0,350000.0
Hyundai,2008.0,120000.0,Diesel,Manual,Second,16.8,1493.0,110.0,5.0,120000.0
Maruti,2016.0,63000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,839000.0
Tata,2017.0,20000.0,Diesel,Manual,First,14.1,2179.0,147.94,7.0,1100000.0
Maruti,2017.0,36000.0,Petrol,Manual,First,23.1,998.0,67.04,5.0,351000.0
Maruti,2015.0,30000.0,Petrol,Manual,First,20.85,1197.0,83.14,5.0,511000.0
Maruti,2015.0,80000.0,Diesel,Manual,First,26.59,1248.0,74.0,5.0,459999.0
Mahindra,2007.0,120000.0,Diesel,Manual,Second,19.2,1461.0,65.0,5.0,150000.0
Skoda,2018.0,50000.0,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,1864999.0
Hyundai,2015.0,60000.0,Diesel,Manual,Fourth,24.0,1120.0,70.0,5.0,310000.0
Maruti,2012.0,70000.0,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,280000.0
Ford,2011.0,15000.0,Petrol,Manual,First,15.6,1196.0,70.0,5.0,225000.0
Ford,2011.0,55130.0,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,250000.0
Chevrolet,2011.0,100000.0,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,270000.0
Maruti,2012.0,60000.0,Diesel,Manual,First,19.3,1248.0,73.9,5.0,380000.0
Hyundai,2016.0,42323.0,Diesel,Manual,First,21.19,1396.0,88.76,5.0,651000.0
Land,2019.0,21000.0,Diesel,Automatic,First,12.83,1999.0,148.31,7.0,4500000.0
BMW,2019.0,7500.0,Diesel,Automatic,First,16.78,1995.0,190.0,5.0,5400000.0
Nissan,2013.0,50000.0,Diesel,Manual,First,21.64,1461.0,84.8,5.0,325000.0
Maruti,2015.0,42000.0,Petrol,Manual,First,23.95,998.0,67.05,5.0,290000.0
Maruti,2015.0,115000.0,Diesel,Manual,Second,26.59,1248.0,74.0,5.0,420000.0
Hyundai,2018.0,70000.0,Diesel,Manual,First,21.38,1396.0,88.7,5.0,1050000.0
Ford,2014.0,54000.0,Diesel,Manual,First,23.0,1498.0,98.96,5.0,484999.0
Hyundai,2008.0,98000.0,Petrol,Manual,Third,20.36,1197.0,78.9,5.0,275000.0
Tata,2018.0,10000.0,Petrol,Manual,First,20.3,1199.0,84.0,5.0,550000.0
Mahindra,2017.0,40000.0,Diesel,Manual,First,25.32,1198.0,77.0,6.0,690000.0
Hyundai,2008.0,70000.0,Petrol,Manual,Third,19.81,1086.0,68.05,5.0,170000.0
Maruti,2002.0,80000.0,Petrol,Manual,Second,18.9,998.0,67.1,5.0,140000.0
Toyota,2015.0,91000.0,Diesel,Automatic,Second,12.55,2982.0,168.5,7.0,1650000.0
Renault,2015.0,240000.0,Diesel,Manual,First,19.98,1461.0,108.5,7.0,550000.0
Maruti,2009.0,52000.0,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,126000.0
Hyundai,2012.0,76000.0,Petrol,Manual,Fourth,20.36,1197.0,78.9,5.0,210000.0
Maruti,2018.0,44885.0,Diesel,Manual,First,26.59,1248.0,74.0,5.0,751000.0
Mercedes,2013.0,25000.0,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,1550000.0
Renault,2016.0,80000.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,260000.0
Maruti,2011.0,300000.0,LPG,Manual,First,26.2,998.0,58.2,5.0,300000.0
Hyundai,2015.0,30000.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,495000.0
Tata,2010.0,120000.0,Diesel,Manual,Second,18.0,1248.0,75.0,5.0,105000.0
Renault,2019.0,90000.0,Petrol,Manual,First,23.01,999.0,67.0,5.0,220000.0
Maruti,2011.0,10000.0,Petrol,Manual,First,19.7,796.0,46.3,5.0,114999.0
Tata,2019.0,10000.0,Petrol,Manual,First,23.84,1199.0,84.0,5.0,459999.0
Honda,2014.0,72000.0,Diesel,Manual,First,26.0,1498.0,98.6,5.0,560000.0
Toyota,2012.0,246000.0,Diesel,Manual,Second,12.99,2494.0,100.0,7.0,700000.0
Mahindra,2005.0,80000.0,Diesel,Manual,First,13.6,2523.0,63.0,7.0,250000.0
BMW,2010.0,60000.0,Diesel,Automatic,First,16.73,1995.0,218.0,5.0,1000000.0
Mahindra,2014.0,37000.0,Diesel,Manual,First,15.96,2523.0,62.1,7.0,480000.0
